Waf: Entering directory `/home/kentux/git/ns-3-dev-git/build'
Waf: Leaving directory `/home/kentux/git/ns-3-dev-git/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (1.071s)
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.0047591   	95.2276      	0.331703   	12.1817   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.926	11.2904   
0       1       2       	0.118	1.45895   
0       1       3       	0.268	3.26688   
0       1       4       	0.074	0.898064  
0       1       5       	0.772	9.46327   
0       1       6       	0.226	2.80575   
0       1       7       	0.952	11.6611   
0       1       8       	0.772	9.43628   
0       1       9       	0.582	7.13342   
0       1       10      	0.74 	9.07787   
0       1       11      	0.948	11.5841   
0       1       12      	0.662	8.08719   
0       1       13      	0.928	11.3237   
0       1       14      	0.922	11.2428   
0       1       15      	0.58 	7.10184   
0       1       16      	0.932	11.3913   
0       1       17      	0.936	11.4624   
0       1       18      	0.542	6.63029   
0       1       19      	0.958	11.719    
0       1       20      	0.564	6.87279   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00379855  	79.3915      	0.498526   	15.4253   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.158	2.41401   
0       1       2       	0.856	13.1285   
0       1       3       	0.952	14.6895   
0       1       4       	0.772	11.831    
0       1       5       	1    	15.4476   
0       1       6       	0.054	0.852624  
0       1       7       	0.066	0.988905  
0       1       8       	0.926	14.2775   
0       1       9       	0.466	7.18427   
0       1       10      	0.238	3.63923   
0       1       11      	0.928	14.3053   
0       1       12      	0.26 	3.97822   
0       1       13      	0.944	14.5299   
0       1       14      	0.398	6.05646   
0       1       15      	0.336	5.0655    
0       1       16      	0.414	6.45187   
0       1       17      	0.862	13.2723   
0       1       18      	0.124	1.89517   
0       1       19      	0.986	15.1956   
0       1       20      	0.078	1.19561   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00388344  	83.8506      	0.46723    	15.0039   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.894	13.3727   
0       1       2       	0.408	6.09037   
0       1       3       	0.592	8.86162   
0       1       4       	0.928	13.9591   
0       1       5       	0.94 	14.07     
0       1       6       	0.2  	2.98342   
0       1       7       	0.828	12.3872   
0       1       8       	0.948	14.201    
0       1       9       	0.064	0.981409  
0       1       10      	0.514	7.66984   
0       1       11      	0.884	13.3143   
0       1       12      	0.278	4.26002   
0       1       13      	0.37 	5.60425   
0       1       14      	0.928	13.947    
0       1       15      	0.998	14.9984   
0       1       16      	0.928	13.8947   
0       1       17      	0.772	11.5221   
0       1       18      	0.974	14.5551   
0       1       19      	0.95 	14.2472   
0       1       20      	0.054	0.801054  
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00408     	88.9414      	0.419962   	14.2767   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.122	1.7807    
0       1       2       	0.926	13.2542   
0       1       3       	0.938	13.4208   
0       1       4       	0.16 	2.33889   
0       1       5       	0.084	1.1752    
0       1       6       	0.954	13.6506   
0       1       7       	0.862	12.3088   
0       1       8       	0.954	13.6366   
0       1       9       	0.564	8.07259   
0       1       10      	0.06 	0.869013  
0       1       11      	0.214	3.05204   
0       1       12      	0.548	7.78726   
0       1       13      	0.214	3.05542   
0       1       14      	0.81 	11.6329   
0       1       15      	0.954	13.6469   
0       1       16      	0.072	0.97101   
0       1       17      	0.048	0.675634  
0       1       18      	0.548	7.83212   
0       1       19      	0.826	11.7808   
0       1       20      	0.868	12.4191   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00388904  	83.8139      	0.463915   	15.0612   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.938	14.0321   
0       1       2       	0.382	5.6818    
0       1       3       	0.132	1.99715   
0       1       4       	0.514	7.70258   
0       1       5       	0.956	14.2796   
0       1       6       	0.96 	14.384    
0       1       7       	0.916	13.7462   
0       1       8       	0.74 	11.101    
0       1       9       	0.87 	12.9847   
0       1       10      	0.3  	4.44709   
0       1       11      	0.54 	8.06993   
0       1       12      	0.368	5.4929    
0       1       13      	0.726	10.8443   
0       1       14      	0.828	12.3193   
0       1       15      	0.93 	13.8963   
0       1       16      	0.2  	2.96976   
0       1       17      	0.044	0.651804  
0       1       18      	0.514	7.61974   
0       1       19      	0.106	1.57282   
0       1       20      	0.942	14.1264   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00437611  	92.7576      	0.374608   	13.2874   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.476	6.2728    
0       1       2       	0.728	9.7165    
0       1       3       	0.368	4.94885   
0       1       4       	0.124	1.65257   
0       1       5       	0.064	0.848069  
0       1       6       	0.438	5.83572   
0       1       7       	0.674	8.96415   
0       1       8       	0.59 	7.92328   
0       1       9       	0.96 	12.8045   
0       1       10      	0.906	12.025    
0       1       11      	0.914	12.1601   
0       1       12      	0.728	9.63121   
0       1       13      	0.944	12.5754   
0       1       14      	0.93 	12.398    
0       1       15      	0.682	9.07211   
0       1       16      	0.58 	7.68551   
0       1       17      	0.118	1.59469   
0       1       18      	0.94 	12.5344   
0       1       19      	0.74 	9.83364   
0       1       20      	0.26 	3.50118   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00427383  	91.7992      	0.38657    	13.5875   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.772	10.5466   
0       1       2       	0.932	12.7077   
0       1       3       	0.926	12.6225   
0       1       4       	0.8  	10.8769   
0       1       5       	0.914	12.4361   
0       1       6       	0.74 	9.99949   
0       1       7       	0.956	13.0221   
0       1       8       	0.846	11.5321   
0       1       9       	0.054	0.773593  
0       1       10      	0.728	9.89226   
0       1       11      	0.944	12.854    
0       1       12      	0.928	12.614    
0       1       13      	0.69 	9.35603   
0       1       14      	0.358	4.88893   
0       1       15      	0.896	12.2302   
0       1       16      	0.868	11.8019   
0       1       17      	0.132	1.81018   
0       1       18      	0.682	9.2606    
0       1       19      	0.444	5.98634   
0       1       20      	0.972	13.2348   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00418221  	90.586       	0.405474   	13.9069   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.078	1.08262   
0       1       2       	0.958	13.3437   
0       1       3       	0.118	1.71841   
0       1       4       	0.94 	13.1269   
0       1       5       	0.928	12.9485   
0       1       6       	0.548	7.58421   
0       1       7       	0.862	12.0135   
0       1       8       	0.932	12.9964   
0       1       9       	0.83 	11.539    
0       1       10      	0.954	13.3015   
0       1       11      	0.934	13.0011   
0       1       12      	0.81 	11.2917   
0       1       13      	0.94 	13.1064   
0       1       14      	0.736	10.2214   
0       1       15      	1    	13.9294   
0       1       16      	0.96 	13.3899   
0       1       17      	0.942	13.1266   
0       1       18      	0.93 	12.9445   
0       1       19      	0.772	10.8269   
0       1       20      	0.94 	13.0714   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00386625  	83.764       	0.465577   	15.061    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.098	1.47204   
0       1       2       	0.956	14.4106   
0       1       3       	0.124	1.78734   
