Waf: Entering directory `/opt/workspace/ns-3-dev/build'
Waf: Leaving directory `/opt/workspace/ns-3-dev/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.017s)
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0       1       8       	0.082	1.1586    
0       1       9       	0.368	5.27271   
0       1       10      	0.258	3.66809   
0       1       11      	0.062	0.875787  
0       1       12      	0.938	13.3937   
0       1       13      	0.366	5.20077   
0       1       14      	0.456	6.42085   
0       1       15      	0.152	2.13336   
0       1       16      	0.948	13.5513   
0       1       17      	0.81 	11.5454   
0       1       18      	0.906	12.8961   
0       1       19      	0.098	1.41389   
0       1       20      	0.772	11.0629   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00476323  	95.2285      	0.331701   	12.1794   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.952	11.6156   
0       1       2       	0.06 	0.703495  
0       1       3       	0.896	10.9356   
0       1       4       	0.15 	1.84436   
0       1       5       	0.514	6.28588   
0       1       6       	0.736	8.98828   
0       1       7       	0.398	4.91426   
0       1       8       	0.16 	1.94302   
0       1       9       	0.87 	10.6484   
0       1       10      	0.668	8.15891   
0       1       11      	0.946	11.541    
0       1       12      	0.58 	7.07552   
0       1       13      	0.95 	11.6525   
0       1       14      	0.926	11.3571   
0       1       15      	0.202	2.42655   
0       1       16      	0.43 	5.24907   
0       1       17      	0.548	6.69666   
0       1       18      	0.728	8.85311   
0       1       19      	0.94 	11.5017   
0       1       20      	0.952	11.6356   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00376387  	79.2155      	0.500041   	15.4512   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.956	14.8074   
0       1       2       	0.972	15.0664   
0       1       3       	0.938	14.4916   
0       1       4       	0.93 	14.4081   
0       1       5       	0.94 	14.5393   
0       1       6       	0.912	14.1675   
0       1       7       	0.932	14.462    
0       1       8       	0.938	14.5127   
0       1       9       	0.048	0.731184  
0       1       10      	0.132	2.08693   
0       1       11      	0.74 	11.4333   
0       1       12      	0.932	14.4089   
0       1       13      	0.922	14.2993   
0       1       14      	0.96 	14.8444   
0       1       15      	0.456	7.02792   
0       1       16      	0.132	2.00137   
0       1       17      	0.408	6.27074   
0       1       18      	0.896	13.7908   
0       1       19      	0.936	14.5041   
0       1       20      	0.668	10.4028   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00387948  	83.7836      	0.463586   	15.0332   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.476	7.15095   
0       1       2       	0.912	13.6614   
0       1       3       	0.928	13.8988   
0       1       4       	0.87 	13.0583   
0       1       5       	0.736	11.0533   
0       1       6       	0.81 	12.1865   
0       1       7       	0.644	9.70472   
0       1       8       	0.592	8.82235   
0       1       9       	0.856	12.8953   
0       1       10      	0.856	12.8677   
0       1       11      	0.952	14.3365   
0       1       12      	0.952	14.294    
0       1       13      	0.94 	14.0911   
0       1       14      	0.894	13.3884   
0       1       15      	0.3  	4.45589   
0       1       16      	0.336	5.14671   
0       1       17      	0.564	8.41422   
0       1       18      	0.572	8.58427   
0       1       19      	0.94 	14.1064   
0       1       20      	0.682	10.2499   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00407556  	88.9349      	0.420396   	14.2801   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.258	3.59861   
0       1       2       	0.368	5.12327   
0       1       3       	0.952	13.5734   
0       1       4       	0.688	9.80777   
0       1       5       	0.894	12.7935   
0       1       6       	0.54 	7.66953   
0       1       7       	0.728	10.3722   
0       1       8       	0.674	9.6257    
0       1       9       	0.942	13.4841   
0       1       10      	0.94 	13.4125   
0       1       11      	0.94 	13.4569   
0       1       12      	0.282	4.01943   
0       1       13      	0.476	6.767     
0       1       14      	0.336	4.83364   
0       1       15      	0.938	13.4497   
0       1       16      	0.058	0.832649  
0       1       17      	0.662	9.47751   
0       1       18      	0.19 	2.71361   
0       1       19      	0.916	13.0948   
0       1       20      	0.928	13.2987   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00388391  	83.7927      	0.464521   	15.0635   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.476	7.19479   
0       1       2       	0.826	12.3513   
0       1       3       	0.456	6.83125   
0       1       4       	0.948	14.2268   
0       1       5       	0.59 	8.86962   
0       1       6       	0.8  	12.0097   
0       1       7       	0.826	12.3449   
0       1       8       	0.942	14.1      
0       1       9       	0.952	14.3012   
0       1       10      	0.674	10.0432   
0       1       11      	0.932	13.9217   
0       1       12      	0.726	10.9053   
0       1       13      	0.906	13.6066   
0       1       14      	0.368	5.50947   
0       1       15      	0.304	4.51816   
0       1       16      	0.69 	10.2789   
0       1       17      	0.942	14.1235   
0       1       18      	0.072	1.07045   
0       1       19      	0.926	13.861    
0       1       20      	0.078	1.19819   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.0043695   	92.7472      	0.373393   	13.3113   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.944	12.6237   
0       1       2       	0.94 	12.5333   
0       1       3       	0.846	11.3066   
0       1       4       	0.922	12.304    
0       1       5       	0.548	7.28162   
0       1       6       	0.062	0.853377  
0       1       7       	0.94 	12.5426   
0       1       8       	0.408	5.44364   
0       1       9       	0.948	12.6426   
0       1       10      	0.682	9.06383   
0       1       11      	0.514	6.83435   
0       1       12      	0.958	12.7875   
0       1       13      	0.58 	7.76761   
0       1       14      	0.95 	12.6967   
0       1       15      	0.154	2.04582   
0       1       16      	0.118	1.59453   
0       1       17      	0.644	8.60453   
0       1       18      	0.152	2.04785   
0       1       19      	0.072	0.980946  
0       1       20      	0.132	1.7788    
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00428857  	91.825       	0.389365   	13.5463   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.856	11.6341   
0       1       2       	0.354	4.81477   
0       1       3       	0.718	9.77004   
0       1       4       	0.69 	9.3687    
0       1       5       	0.854	11.6468   
0       1       6       	0.54 	7.36793   
0       1       7       	0.88 	11.9513   
0       1       8       	0.948	12.8772   
0       1       9       	0.21 	2.9016    
0       1       10      	0.152	2.09057   
0       1       11      	0.914	12.3983   
0       1       12      	0.152	2.07451   
0       1       13      	0.87 	11.8173   
0       1       14      	0.06 	0.846898  
0       1       15      	0.67 	9.07125   
0       1       16      	0.846	11.4934   
0       1       17      	0.93 	12.6021   
0       1       18      	0.952	12.9172   
0       1       19      	0.928	12.5894   
0       1       20      	0.674	9.19373   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00418879  	90.5962      	0.403961   	13.9128   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.936	13.0443   
0       1       2       	0.932	12.9507   
0       1       3       	0.956	13.2887   
0       1       4       	0.776	10.7609   
0       1       5       	0.95 	13.2171   
0       1       6       	0.514	7.0939    
0       1       7       	0.962	13.3772   
0       1       8       	0.96 	13.3529   
0       1       9       	0.854	11.8697   
0       1       10      	0.592	8.20446   
